Rank,Name,Location,About,Link
21,Cornell University,United States,"""I would found an institution where any person can find instruction in any study,” is the motto of Cornell University, words first uttered by its co-founder Ezra Cornell. Cornell was founded in 1865 with the then radical intention of teaching and making contributions in all fields of knowledge.
Since its founding, Cornell has been a co-educational, non-sectarian institution where admission has not been restricted by religion or race. These are liberal traditions that Cornell holds dear: a recent article in the Cornell Chronicle heralded the first all-female class admitted to its famous Farrier program in veterinary science. Cornell was also the first university to offer degrees in journalism and the first to teach modern Far Eastern languages.
The main campus of Cornell is on East Hill in Ithaca, New York, overlooking the city and Cayuga Lake. It spreads over 2,300 acres and comprises laboratories, administrative buildings, and almost all the campus' academic buildings, athletic facilities, auditoriums, and museums.
The architecture is an eclectic mix of Collegiate Gothic, Victorian, and Neoclassical buildings, international and modernist structures. There are other campuses and facilities in New York City itself such as the medical campus Weill Cornell in Manhattan, and the engineering campus Cornell Tech. Outside New York, Cornell has an outpost in the gulf state of Qatar, which is the first American medical college to open outside of the United States.
Ithaca campus sits at the heart of the Finger Lakes region, surrounded by green space and natural beauty. Students here are as likely to be found sitting under a tree with their nose in a book as they are taking advantage of the many clubs, societies and activities Cornell has to offer.
First-year undergraduates live on North Campus, while upper-level students often hone in on the communities that they have found, opting for a fraternity or sorority, a co-op, a themed residence hall, or an apartment off campus.
There are more than 1,000 organizations on campus, ranging from skateboarding to volunteer programs. Sporty or outdoorsy students can take part in courses as diverse as caving and rope climbing, and there are four sports centers for the fitness inclined.
Food lovers are also well catered for, with Cornell voted in the top ten universities for food, with more than 30 dining facilities across campus.",https://www.topuniversities.com/universities/cornell-university#883575
22,University of Chicago,United States,"Established in 1856, the University of Chicago is a private research university based in the urban center of Chicago, the third most populous city in the United States. Outside of the Ivy League, Chicago is one of America’s top universities, and holds top-ten positions in various national and international rankings.
Beyond the arts and sciences, Chicago has a glowing reputation for its professional schools, including the Pritzker School of Medicine, the Booth School of Business, and the Harris School of Public Policy Studies. University of Chicago alumni are responsible for the development of many academic disciplines, such as sociology, economics, law, and literary criticism.
The college’s crest sees a phoenix rising from the ashes, a reference to the fire, foreclosure, and demolition of the Old University of Chicago campus, with the current University of Chicago emerging triumphantly in its place in 1890. The old university was founded through a land endowment from the controversial senator Stephen Douglas, a supporter of slavery who authored the Kansas-Nebraska act. By contrast, the new University of Chicago was co-educational and funded through donations from wealthy Chicagoans and the oil magnet John D. Rockefeller.
Today, the University of Chicago has approximately 16,000 students enrolled, with a male to female ratio of 56:44. A quarter of all students hail from overseas, a nod to the institution’s progressive credentials.
Students run more than 400 clubs and societies, which consist of a typical mix of sports teams, arts, cultural and religious groups, academic and political groupings, and societies that promote eclectic common interests. Among the more famous examples are the University of Chicago bowl team, which has won 118 tournaments and 15 national championships, while the university's competitive Model United Nations team was the top ranked team in North America in 2013–14 and 2014–2015.
If you have an interest in media and film, then you’re well catered for: the university is home to the longest continuously running student film society Doc Films and publishes several newspapers and magazines. Budding thespians can join renowned improvisational theater troupe Off-Off Campus, or learn how to broadcast at the university-owned radio station WHPK.
Notable faculty members past and present include 29 Nobel laureates and former US president Barack Obama. Illustrious alumni come in practically every field, including the novelists Philip Roth and Saul Bellow, political movers and shakers such as pollster Nate Silver and Obama strategist David Axelrod, pioneering balloonist Jeannette Piccard, and the fictional archaeologist Indiana Jones.",https://www.topuniversities.com/universities/university-chicago#883575
23,Seoul National University,South Korea,"Founded in 1946 by the merger of ten higher education institutions, Seoul National University enjoys a prestige unlike any other Korean university. It endured a tumultuous time during the mid-20th century, becoming one of Japan’s Imperial Universities during its occupation of Korea, and it was taken over by North Korea during the Korean War of the 1950s.
It’s experiencing happier times now though, with some 28,000 students enrolled on undergraduate, postgraduate and doctoral programs. There are also partnerships and exchange programs operated with over 700 academic institutions in 40 countries, including a general academic exchange program with the University of Pennsylvania, and double-degrees with the MIT Sloan School of Management and Yale School of Management.
Sixteen colleges of the university offer 83 undergraduate degree programs, while for master’s and doctoral programs there is a graduate school with 99 programs across five fields of studies. A recent study found that Seoul National University spends more on its students than any other large university in Korea.
The university has three campuses: the main Gwanak campus is located in southern Seoul, the medical campus is situated in the north-east of the city, while another campus lies 126km away in the city of Pyeongchang, the host city of the Winter Olympics.
There are dormitory rooms on campus, most of which are doubles with en-suite bathrooms and facilities, as well as studio apartments. Students live, work and socialize on campus, which contains all the facilities needed for a healthy and happy student life. There are plenty of cafeterias and snack bars on campus (though vegetarians may find the Korean diet a challenge), and a wide range of clubs, societies and activities designed to fill students’ social calendars and immerse foreign students in Korean culture.
Sporting activities, whether competitive or recreational, keep students in good shape mentally and physically, while arts and culture also rank highly on the list of what to do on campus, with students able to visit a world-class art gallery as well as attend concerts and recitals by anyone from the top K-pop sensation of the day to classically trained musicians.",https://www.topuniversities.com/universities/seoul-national-university#883575
24,University of Pennsylvania,United States,"The University of Pennsylvania is a private Ivy League research university located in the city of Philadelphia. It was founded in 1740 by Benjamin Franklin, one of the United States’ founding fathers, who was eager to create a school to educate future generations.
Franklin advocated a concept of higher education that focused not merely on the education of the clergy, but on teaching knowledge of arts and humanities, as well as the practical skills needed to make a living and to do public good. His maxim of “well done is better than well said” lives on today through its commitment to inclusive policies and innovation.
As of fall 2017, there were 21,599 students studying at Penn, split equally between undergraduate and graduate students. Penn has a strong focus on interdisciplinary learning and research, offering double degree programs, unique majors and academic flexibility. This means competition to study at Penn is fierce, particularly at undergraduate level. The admission rate for the class of 2021 was 9.3 percent, of which 46 percent were either black, Hispanic Asian, or Native American. Unusually for an Ivy League school, women comprise over half (54 percent) of all students enrolled.
Penn’s core campus covers more than 279 acres in a contiguous area of West Philadelphia's University City. All of Penn's schools and most of its research institutes are located on this campus, with the surrounding neighborhood including restaurants and pubs, a large supermarket and cinema.
Student life at Penn serves up opportunities to discover new interests and passions galore, through a wide diversity of social, political, religious, and cultural activities. There are cultural centers and one-of-a-kind museums on campus that allow the arts to play a leading role in student life such as the Annenberg Center for the Performing Arts, the Arthur Ross Gallery, and Institute of Contemporary Art, which are all major cultural destinations and easy for Penn students to access.
The university also takes sports and recreation very seriously, with students taking part in ice hockey, athletics and joining a variety of competitive, instructional and recreational sports clubs.
With its arts and sciences programs ranking in the top 10 nationally, and the employment prospects for its students among the brightest (Penn boasts one of the highest numbers of graduates who go on to become Fortune 500 CEOs), there is little doubt that the University of Pennsylvania deserves its Ivy League status and reputation.",https://www.topuniversities.com/universities/university-pennsylvania#883575
25,University of Michigan,United States,"One of the foremost research universities in the United States, the University of Michigan was founded in 1817, before Michigan had even become a state, and moved from Detroit to what is now its Central campus in Ann Arbor in 1837.
Michigan spans 780 acres, which is made up of its Central and North campuses, two regional campuses, and a center in Detroit. It has a large student body of around 45,000, with undergraduates numbering two-thirds of that number.
Michigan has been lauded for having high standards of research, and the university’s comprehensive graduate program offers doctoral degrees in the humanities, social sciences, and STEM fields (science, technology, engineering and mathematics) as well as professional degrees in architecture, business, medicine, law, pharmacy, nursing, social work, public health, and dentistry.
Michigan's body of living alumni comprises more than 540,000 people, which is one of the largest alumni bases of any university in the world and a valuable resource for current students when it comes to networking and building industry connections.
Around a quarter of all students are accommodated on campus, with three large residence halls serving undergraduates, and family housing which is intended mainly for graduates. There are also off-campus apartments, houses, and co-operatives, which generally house upper division and graduate students, as well as ‘theme communities’ within residence halls, where students can immerse themselves among peers with similar interests.
Michigan has nearly 1,500 clubs and societies, including engineering project teams, community service organizations, and charitable projects. The Michigan Marching Band is over 100 years old and has 350 student members, and other noted musical ensembles include the University of Michigan Men’s Glee Club, a men’s chorus with over 100 members.
Michigan has a history of student activism, and there are a number of groups dedicated to various worth causes. Some, such as the United Students Against Sweatshops (USAS), devote themselves to more left-wing causes, in this case holding to account multinational companies that exploit their workers in factories, but there are also conservative groups such as Young Americans for Freedom, as well as non-partisan groups.
Cultural and ethnical student organizations help students forge smaller communities from the large university population, and publications such as the Michigan Daily, published five days a week during term time, allow students to keep abreast of the latest news on campus.",https://www.topuniversities.com/universities/university-michigan#883575
25,University of Waterloo,Canada,"In the heart of Waterloo Region, at the forefront of innovation, the University of Waterloo is home to world-changing research and inspired teaching. At the hub of a growing network of global partnerships, Waterloo will shape the future by building bridges with industry and between disciplines, institutions and communities.
From quantum computing and nanotechnology to clinical psychology, engineering and health sciences research, ideas that change the world are at the heart of who we are.
The University of Waterloo has been ranked Canada’s most innovative university for the past 25 years. More than 16,000 undergraduates participate in the world's largest post-secondary co-operative education program where students alternate school and work terms, gaining experience with employers such as Google, Facebook, Amazon. Located about 110 km west of Toronto, the University of Waterloo welcomes 35,000 students from 120 countries.",https://www.topuniversities.com/universities/university-waterloo#883575
26,Fudan University,China,"Ask any would-be Chinese undergraduate where they most would like to study, and chances are Fudan will be mentioned. Based in downtown Shanghai amid the bustle and beauty of this urban metropolis, Fudan is one of China’s most prestigious and selective schools.
It was founded in 1905 shortly before the end of China’s imperial Qing dynasty. The two Chinese characters that make up the name of the university are taken from Confucian philosophy and mean “heavenly light shines day after day” – an indication of the school’s high ideals and aspirations.
Throughout China’s travails during the 20th century, from the Japanese invasion in 1937 to the Cultural Revolution, Fudan University has been a constant presence, evolving with the times into a modern, comprehensive-style university.
It has over 45,000 Chinese students on its books, and an additional 1,750 from overseas – the second highest total nationally. Students study in 17 schools and 69 departments, and the university confers 73 bachelor's and 201 master’s degree programs across a wide range of disciplines. It’s consistently ranked among the top five universities in China.
Most students live and study at the main Handan campus. Life on campus is acknowledged as an important part of students’ personal development, and as such there are a wide range of clubs – 310 student clubs in total, including 260 undergraduate organizations, 30 graduate student clubs, and 19 international student clubs. Some have a long history, such as the Fudan Opera Troupe, established in 1925, or the Painting and Calligraphy Society.
Volunteering in the community has also become an important part of student life, with more than 50 college and department volunteer service teams. After the Wenchuan earthquake, 1,077 volunteers from Fudan were part of disaster relief teams, and another 1,300 students volunteered at the Beijing Olympic Games, Paralympics, and World Aquatics Championships.
Fudan is beginning to spread its tentacles over the world, with academic exchange programs and partnerships with more than 200 universities and research institutions, including Harvard, Columbia, and the London School of Economics.
Its alumni are prominent politicians, artists, and scientists who have excelled in their fields, and include the director of the World Bank, Zhang Shengman, as well as Chen Zhongwei, a pioneer of the process of reattaching severed limbs.",https://www.topuniversities.com/universities/fudan-university#883575
27,Waseda University,Japan,"Waseda University
, a top institution of higher education based in central Tokyo, has 50,000 students in 13 undergraduate and 21 postgraduate schools. It was founded on three principles: academic independence, practical innovation and enlightened citizenship. Waseda’s mission is to build leaders, and it does, producing seven prime ministers and countless other leaders in government, business, journalism, science, literature and the arts. Waseda is
Japan’s most global campus
, with
over 5000 international students from 100 countries
, and partnerships with over 600 prominent institutions in 84 countries.
With
50 all-English degree programs
, students can learn Japanese in parallel to their major studies, while enjoying the many benefits of
living in Tokyo
, one of the greatest global cities, voted the
world's safest, cleanest, most hospitable city,
with
the world's best public transport
and the most Michelin-starred restaurants. It is also one of the
world’s top 3 cities for students
.
Why Waseda? Let us show you
more
!",https://www.topuniversities.com/universities/waseda-university#883575
28,The University of New South Wales (UNSW Sydney),Australia,"UNSW Sydney (The University of New South Wales) is one of the world’s leading research and teaching universities. Established in 1949, we are home to more than 59,000 students from over 130 countries and an alumni community of 300,000 that spans the world.
No longer young in years we remain young in spirit, committed to pioneering research and preparing the next generation of talented global citizens for career success.
Our students are the number one choice among Australia’s top employers and we are ranked 24th in the world for employer reputation. Our 4,300 researchers lead the world in solar power, HIV treatment and quantum computing and they are internationally renowned in many other fields.
Our main campus is located on a 38-hectare site at Kensington, seven kilometres from the centre of Sydney, voted 9th best student city in the world. Other campuses are UNSW Art & Design (Paddington) and UNSW Canberra at ADFA (Australian Defence Force Academy).
UNSW Sydney is a founding member of the prestigious Group of Eight (Australia) and the PLuS Alliance, and is a member of Universitas 21, the Association of Pacific Rim Universities, and the Global Alliance of Technological Universities where we were the only Australian university invited to join.",https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney#883575
30,Ecole Polytechnique,France,"École Polytechnique
, also known as l’X, is the leading French institute which combines top-level research, academics, and innovation at the cutting-edge of science and technology. Its academic programs –
Bachelor
,
Ingénieur Polytechnicien
,
Masters
,
Graduate Degrees
and
PhD
– are highly selective and promote a culture of excellence with a strong emphasis on science, anchored in humanist traditions.
L’X guarantees an outstanding experience to its international students, from their admission to their careers’ follow-up, providing them with very dedicated services, such as individual academic coaching, administrative and financial support and counseling, or Alumni mentoring. This unique environment, combined with the high-level of the students who go through a very selective process to access École Polytechnique, also attracts some of the most distinguished faculty in the world.
With its Research departments which are joint research units with the French National Center for Scientific Research (CNRS), the
École Polytechnique Research Center
explores the frontiers of interdisciplinary knowledge to provide major contributions to science, technology, and society. L’X is also a founding member and a leader of the Paris-Saclay University, a major scientific and economic cluster which brings together top French higher education and research institutions, as well as R&D centers of prominent international companies.
ÉCOLE POLYTECHNIQUE IN FIGURES
About 3,000 graduate students, 36% international, over 60 nationalities on campus
670 faculty members, 39% international
5:1 student to faculty ratio
11 academic departments with 1,600 personnel, 1,350 publications per year
32 double degree program agreements
Ingénieur Polytechnicien Admission centers in 15 countries
1,500 student housing units
8,000 square meters of indoor sports facilities and 8 hectares of outdoor sports facilities
École Polytechnique",https://www.topuniversities.com/universities/ecole-polytechnique#883575
31,"KIT, Karlsruhe Institute of Technology",Germany,"Karlsruhe Institute of Technology is a German university based in the city of Karlsruhe primarily involved in STEM areas and currently home to 25,892 students. Their main research areas include energy, mobility and information. It runs a Centre for Innovation and Entrepreneurship which provides free advice and resources to students and alumni seeking to start their own business.",https://www.topuniversities.com/universities/kit-karlsruhe-institute-technology#883575
32,Northwestern University,United States,"Located on the shore of Lake Michigan 12 miles north of Chicago, Northwestern University was a glint in the eyes of its founders when they gathered in 1850 to plan a higher education institution. Without much money, land or higher education experience between them, their vision was ambitious, but through their shrewdness and hard work, they were able to purchase the 379-acre site on which the university now stands and begin classes in the fall of 1855.
In those earliest days, the new university had only two faculty members and 10 students. Today, Northwestern has blossomed into a large research university with 21,000 students and a comprehensive doctoral program. Its undergraduate programs are among the most selective in the United States, with an admission rate of 9 percent, and NU also boasts some highly-prized graduate and professional schools such as the Kellogg School of Management, Pritzker School of Law, Feinberg School of Medicine, and Medill School of Journalism.
The surrounding town of Evanston is named after the school’s founding father John Evans and is well-known for being a champion of sustainability. It’s also the hometown of actors Marlon Brando and Bill Murray, and the music producer Steve Albini.
In addition to the main campus at Evanston, Northwestern has another campus in Chicago, which is home to the medical school, law school, part-time MBA program, and School of Professional Studies. The two campuses are 12 miles apart, bordered by Lake Michigan, and a free intercampus shuttle bus connects the two.
The Evanston campus has all the facilities of a quintessential college town: beaches, shops, coffee houses, restaurants, and cinemas just a stone’s throw from classrooms, labs and lecture halls, while students at the Chicago campus in the bustling Streeterville neighborhood, are close to world class attractions such as the Magnificent Mile, the Museum of Contemporary Art and the John Hancock Center.
On campus, Northwestern students suffer from an embarrassment of riches: concerts, plays, readings, exhibitions, and performances are easily accessible for cultural vultures, while sports enthusiasts can either watch or partake in all traditional American sports.
With a thriving journalism and communications school, student media also proves popular at Northwestern too, with college newspaper the Daily Northwestern a going concern since 1881, and all manner of magazines and web publications.
The combination of Northwestern’s strong academic pedigree and vibrant campus life is undoubtedly making it an increasingly popular choice for students at both undergraduate and postgraduate level.",https://www.topuniversities.com/universities/northwestern-university#883575
33,Imperial College London,United Kingdom,"Ranked 8th in the world in the
QS World University Rankings® 2019
,
Imperial College London
is a one-of-a-kind institution in the UK, focusing solely on science, engineering, medicine and business. Imperial offers an education that is research-led, exposing youto real world challenges with no easy answers, teaching that opens everythingup to question and opportunities to work across multi-cultural, multi-nationalteams.
Imperial is based in South Kensington in London, in an area known as ‘Albertopolis’, Prince Albert and Sir Henry Cole’s 19th century vision for an area where science and the arts would come together. As a result, Imperial’s neighbors include a number of world leading cultural organizations including the Science, Natural History and Victoria and Albert museums; the Royal Colleges of Art and Music; the English National Ballet; and the Royal Albert Hall, where all of their students also graduate.
There is plenty of green space too, including two Royal Parks (Hyde Park and Kensington Gardens) within 10 minutes’ walk of campus. Travel to and from the area is also really easy as it’s served by three Tube lines and many bus routes.
One of the most distinctive elements of an Imperial education is that students join a community of world-class researchers. The cutting edge and globally influential nature of this research is what Imperial is best known for. It’s the focus on the practical application of their research – particularly in addressing global challenges – and the high level of interdisciplinary collaboration that makes their research so effective. Read more about their research impact
here
.
The number of
award winners, Nobel Prize holders and prestigious Fellowships
(Royal Society, Royal Academy of Engineering, Academy of Medical Sciences) amongst their staff is a testament to the outstanding contributions they have made in their respective fields.
Imperial is is one of the most international universities in the world, with 59% of its student body in 2017-18 being non-UK citizens and more than 140 countries are currently represented on campus. Meanwhile, the College’s staff, like their students, are diverse in their cultural backgrounds, nationalities and experiences.
Follow Imperial on
Facebook
,
Twitter
,
Instagram
, and Snapchat (just search ""imperial college"").
The College has a number of
campuses
including their
South Kensington Campus
where their outstanding facilities include:
Full motion flight simulator used for investigating the handling qualities and performance of existing and future aircraft
Carbon capture pilot plant – stretching over four floors and built to industrial standards
Hydrodynamics laboratory for measuring waves and their impact
KPMG Data Observatory (DO), the largest of its kind in Europe, featuring a circular wall of 64 monitors powered by 32 computers facilitating 313 degrees of surround vision
Test-flight facilities for hybrid unmanned aerial robots in a lab that is equipped with 16 high-speed 3D cameras capable of tracking the robots in flight, and a further eight for tracking underwater movement
Wind tunnels, covering speeds from a few meters per second to Mach 9
Imperial offers a huge range of student activities,including
370+ student-led clubs, societies and projects
. Groups range from adrone society and e-sports to a capella and yoga, as well as a variety of musicand theatre groups. It’s also easy to find reminders of home through our cultural societies, including the Arabic, Indian, Italian, Japanese, and Korean societies amongst many others. The
International Student Support team
also offer a range of activities to help international students make the most of their time in the UK.
A postgraduate degree from Imperial will provide you with an excellent foundation for your future – and the College offers lots of support to help you prepare for it.
The Careers Service
is on hand to support your career planning from your very first day and for up to three years after graduation.",https://www.topuniversities.com/universities/imperial-college-london#883575
33,National University of Singapore (NUS),Singapore,"A leading global university centred in Asia, the National University of Singapore (NUS) is Singapore’s flagship university, which offers a global approach to education and research, with a focus on Asian perspectives and expertise.
NUS has 17 faculties and schools across three campuses. Its transformative education includes a broad-based curriculum underscored by multi-disciplinary courses and cross-faculty enrichment. Over 38,000 students from 100 countries enrich the community with their diverse social and cultural perspectives. NUS also strives to create a supportive and innovative environment to promote creative enterprise within its community.
The 17 Schools in NUS include:
Arts and Social Sciences
Business
Computing
Continuing and Lifelong Education
Dentistry
Design and Environment
Duke-NUS Medical School
Engineering
Integrative Sciences and Engineering
Law
Medicine
Music
Public Health
Public Policy
Science
University Scholars Programme
Yale-NUS College
NUS takes an integrated and multi-disciplinary approach to research, working with partners from industry, government and academia, to address crucial and complex issues relevant to Asia and the world. Researchers in NUS’ Schools and Faculties, 30 university-level research institutes and centres, and Research Centres of Excellence cover a wide range of themes including: energy, environmental and urban sustainability; treatment and prevention of diseases common among Asians; active ageing; advanced materials; risk management and resilience of financial systems. The University’s latest research focus is to use data sciences, optimisation research and cyber security to support Singapore's Smart Nation initiative.",https://www.topuniversities.com/universities/national-university-singapore-nus#883575
34,Duke University,United States,"Founded in 1838, Duke University is a private research university located in Durham, North Carolina, named after the university’s great benefactor James Buchanan Duke’s deceased father, Washington Duke.
Its campus spans over 8,600 acres on three campuses in Durham as well as a marine lab in Beaufort. The main campus – designed largely by architect Julian Abele – incorporates Gothic architecture with the looming presence of Duke Chapel, the campus' centerpiece that seats nearly 1,600 people and contains a 5,200-pipe organ.
Duke is the seventh-wealthiest private university in America and in 2014, Thomson Reuters named 32 of Duke's professors to its list of Highly Cited Researchers. Ten Nobel laureates and three Turing Award winners are also affiliated with the university, which is the second-largest private employer in the state of North Carolina.
From its early days as Brown’s Schoolhouse, Duke has evolved into a global academic and research powerhouse. Its Levine Science Research Center is the largest single-site interdisciplinary research facility of any American university, and in 2014 Duke spread its tentacles eastwards, opening a Chinese outpost, Duke Kunshan University, which blends an American-style liberal arts education with Chinese traditions.
Its recent academic achievements include three of its students being named Rhodes Scholars in 2002 and 2006. Also in 2006, Duke researchers unveiled the first working demonstration of an invisibility cloak, to the delight of Harry Potter fans around the world.
A total of around 15,000 students attend Duke, with the majority of them being postgraduates. There is an 8:1 student-to-faculty ratio, which personalizes the learning experience.
Undergraduates have access to four academic schools including Trinity College of Arts and Sciences, and the Sanford School of Public Policy. Graduate students can enroll in nine graduate and professional schools, including Duke Law School, Fuqua School of Business, and the School of Medicine.
The university has an ethnically diverse and politically engaged student body: activism in the 1960s prompted Martin Luther King Jr to speak on campus about the civil rights movement, and, following violence in Charlottesville in 2017, the statue of Confederate General Robert E Lee was removed from the entrance to Duke University Chapel.
The majority of Duke students live on campus, where they can take advantage of the university’s enviable sports facilities and get fully involved in student life. Duke is home to over 400 student organizations – cultural, faith-based, political, and service-based – that foster student interaction and exchange, and help students develop their interests and passions.",https://www.topuniversities.com/universities/duke-university#883575
35,The University of Manchester,United Kingdom,"The University of Manchester
offers over 1,000 degree programmes across the humanities, business, science, and engineering subject areas. These programmes include foundation courses, bachelor's degrees, master's degrees, PhDs and MBAs.
Ranked seventh in the world according to the
QS World University Rankings® 2018
, the University of Manchester is a prestigious
red brick university
and is also a member of the Russell Group: a select network of leading research-intensive universities in the UK. The University is investing £1 billion over 10 years into its campus and facilities, helping to sustain its incredible history of innovation, with 25 Nobel Prize winners among its current and former students and staff. The University helped with the development of the world's first modern computer in 1948, and was where Ernest Rutherford first split the atom in 1917.
Today,
The University of Manchester
is at the forefront of cutting edge research in science and engineering, particularly into new treatments for life-threatening diseases. In 2015/2016 alone, the University of Manchester attracted over £342 million in external research funding.
Recruiters target
University of Manchester
graduates because they’re highly employable. Ranked
35th in the QS Graduate Employability Rankings 2017
, it boasts a 94% employability rate.
Making up 25% of the student population, The University of Manchester has the highest percentage of international students in the UK; as many as 180 nationalities are represented on campus. The university offers a number of postgraduate scholarships to international students - find out about any opportunity you may be eligible for
here
.
You can also follow the University of Manchester on
Facebook
,
Instagram
,
LinkedIn
and
Twitter
for live updates and multimedia content.
The University of Manchester
is home to one of only five National Research libraries in the UK, holding over four million printed books and manuscripts, as well as more than 41, 000 electronic journals and 500,000 electronic books, making it one of the best resourced libraries in the UK.
The Library also runs
My Learning Essentials
, an award winning skills programme that helps students with academic and personal development through online resources and workshops.
The cultural assets at the University of Manchester provide inspiration and creativity across the arts and sciences. These centres include the
Whitworth Art Gallery
,
The John Rylands Library
,
Jodrell Bank Discovery Centre
, (home to the Lovell telescope) and
the Manchester Museum
.
Manchester is part of the N8 Shared Equipment Inventory System, an equipment portal shared by 8 universities in England. It is a searchable online database that can be used to request research equipment and facilities across the N8 University partnership.
The sports and well-being facilities are extensive, including the
Armitage Sports Centre
in Fallowfield with outdoor pitches, indoor halls and fitness suite, the
Manchester Aquatics Centre
and
Sugden Sports Centre
in the city, and the
Wellbeing Rooms
on campus.
Beyond academics, The University of Manchester offers plenty of extracurricular activities and opportunities for development. The
Students' Union
is the largest in the UK, with more than 480 different clubs and societies. There is also a specific
International Society
, where you can make friends from all over the world, go on trips around the UK and learn about different cultures.
The University provides a great support network for students, with counselling services, free sports and well-being activities, and workshops for academic and personal skills such as time management, essay writing or referencing. Social responsibility is very important at the University of Manchester, and there are many volunteering opportunities across the city, as well as the
Ethical Grand Challenge
, where students work together to tackle problems facing the world today.
The city of Manchester is perfect for students; it is not only ranked as one of the best cities to live in the UK, but it is also very affordable in comparison. The centre of Manchester is vibrant and lively, with a diverse food and drink scene, thriving nightlife and inspiring cultural centres. There is also a wide range of shops; from your favourite high street brands surrounding Piccadilly Gardens, to independent vintage stores and markets in the Northern Quarter.
There is plenty of choice for accommodation in Manchester; the university offers plenty of different halls in either the city, Victoria park or Fallowfield. These three areas vary in distance from the university, and each has their own distinctive atmosphere. It makes it easy to choose the best place to suit you. Manchester also offers both catered and self-catered accommodation, private or shared bathrooms, and there is always the choice of renting privately - which the university can help with, using their website
Manchester Student Homes
, which keeps a list of accredited and trustworthy landlords.
Finally, the city has great travel links. The 147 Oxford Road Link bus is free for students and will take you to each end of the university campus. Alternatively, you can invest in a semester or yearlong bus pass which will let you travel on unlimited buses throughout the whole city. There are three major train stations in the city centre, which will take you anywhere in the UK, including London in just two hours. Manchester is also home to the biggest airport in the UK outside of London, with low cost flights to anywhere in Europe as well as connections all around the rest of the world.
Manchester's entry requirements rely on strong grades and test scores, as the University provides high quality education to students of outstanding achievements. However, The University of Manchester also considers other information to identify students with potential from all educational backgrounds.
To apply to the University of Manchester as an undergraduate student you must go through
UCAS
- the UK's organisation designated to process applications to British universities. All admissions decisions at the University of Manchester are made within academic schools and are assessed through prior and predicted grades, evidence of knowledge and commitment in a personal statement, and academic references. Some courses may also interview, give aptitude tests or consider portfolios. Exceptional circumstances or personal barriers are also taken into account; contextual data helps admissions officers to gain a full and well-rounded view of each student before making a decision.
The University of Manchester is the most targeted university by the UK's top graduate employers, (High Fliers Research, 2018) and 93% of graduate students are in work or study just six months after graduating. (Higher Education Statistics Agency 2017)
The University of Manchester's Careers Service is an excellent resource for students at any undergraduate or graduate level, to help them decide and get to where they want to go in the future. The service includes consultations and advice, a bank of listed internships, graduate schemes and part time jobs, and skills based learning such as practice psychometric testing or CV writing.
You can follow Manchester's careers service at @ManUniCareers on Twitter and @yourcareersservice on Facebook for more information.",https://www.topuniversities.com/universities/university-manchester#883575
36,Politecnico di Milano,Italy,"In Italy the term ""Politecnico"" means a state university consisting only of study programmes in Engineering, Architecture and Design.
With approximately 40,000 students,
Politecnico di Milano
is the Italian largest university for Engineering, Architecture and Industrial Design and it is ranked as one of the most outstanding European universities in these fields.
The university has seven campuses located in Milan and in other nearby Italian cities. It is organised in 12 Departments, devoted to research and in 4 Schools, devoted to education.
Thanks to a strong internationalization policy, many programmes are entirely taught in English, thus attracting an ever-increasing number of talented international students, who form a diverse community from more than 100 countries.
Some of the most renown Italian scientists and architects studied and taught at Politecnico di Milano. Among them,
Renzo
Piano
and
Aldo Rossi
, both Pritzker Price, and
Giulio Natta
, Nobel Prize in Chemistry.
Politecnico di Milano is member of
IDEA League
, a strategic alliance among five leading European universities of technology that aims to educate a new generation of Engineers with extra-curricular activities for selected, highly talented students.",https://www.topuniversities.com/universities/politecnico-di-milano#883575
37,Pontificia Universidad Católica de Chile (UC),Chile,"The Pontificia Universidad Católica de Chile was founded on June 21, 1888 by Monsignor Mariano Casanova, Archbishop of Santiago. His goal was to create an institution capable of blending academic excellence and training based on the Christian doctrine. The local and universal historical context that the Church faced when the University was founded inspired the institution to train professionals who led Christian lives and who could renew energies for the coming generations. The first Rector was Monsignor Joaquín Larraín Gandarillas and the first two faculties were Law, Physical Sciences and Math.
In spite of the changes, the University has always aimed to achieve a solid education, founded in the sciences, arts, humanities and Catholic morals. Thus, the University aims for its students to be not only technically and scientifically prepared, but also to be open to different human realities and to the social and personal responsibilities involved in the complete development of a society. Throughout the history of the university, this first aim has been continuously fulfilled.",https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc#883575
